Integration Report
"No.","Type","Compound","Main Ion
 [M/Z]","R.Time
 [min.]","Expect.
 [min.]","St.Time
 [min.]","End Time
 [min.]","Height
","Area
 [a.u.*s]","QVal
","Flags"
1,"","Benzaldehyde, 4-hydroxy-3,5-dimethoxy-",182.100006103516,0,29.8858500162766,0,0,0,0,0," "
2,"","Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-",83,15.4908671061201,15.4909332275394,15.441466267904,15.55436706543,1330.58703613281,3353.19419999997,98.829231262207," "
3,"","10,18-Bisnorabieta-8,11,13-triene",227.199996948242,38.3534993489591,38.3253987630216,38.3394002278653,38.388781738282,393,477.531999999992,99.3359603881836," "
4,"","20 (DCSE)",149,0,28.2417175292974,0,0,0,0,0,"D"
5,"","21 (DCSE)",178.100006103516,0,31.6428833007819,0,0,0,0,0," "
6,"","19 (DCSE)",243.199996948242,36.7587646484382,36.7022664388028,36.7234822591153,36.8010986328132,1009,2067.26650000016,97.5032653808594," "
7,"","22 (DCSE)",74,4.4264668782553,4.32778320312509,4.37001647949227,4.51115010579436,2465,5849.40400000001,98.1103591918945," "
8,"","16 (DCSE)",69.0999984741211,0,19.6895324707035,0,0,0,0,0," "
9,"","17 (DCSE)",190.199996948242,35.6085815429695,35.587532552084,35.5662353515632,35.6438517252611,357,750.617499999924,97.3714904785156," "
10,"","7 (DCSE)",190.199996948242,0,35.926232910157,0,0,0,0,0,"D"
11,"","15 (DCSE)",133,8.42038319905616,8.38523356119808,8.35686645507829,8.61089986165382,29974.625,95123.0645,98.4868011474609," "
12,"","12 (DCSE)",45,5.03331654866547,4.96289978027354,5.01215006510427,5.21678314208995,9509,26881.603,95.2258682250977,"M"
13,"","13 (DCSE)",151,15.6672668457034,15.5756835937503,15.6108164469404,15.7801666259769,2122,7146.43600000003,97.0807723999023," "
14,"","14 (DCSE)",177.100006103516,0,25.4193339029953,0,0,0,0,0," "
15,"","10 (DCSE)",43,4.15126673380542,3.9819999694825,4.06660003662117,4.20771662394214,45717.5,67006.0849999999,99.0188217163086," "
16,"","1 (DCSE)",43,8.16634979248063,8.15936686197933,8.10283355712907,8.24396667480485,1202.78491210938,5086.09528746033,94.8157043457031,"Q"
17,"","2 (DCSE)",193,9.82460021972676,9.82466634114603,9.74696655273457,9.88810017903666,5893,23989.6244999997,99.8695602416992," "
18,"","3 (DCSE)",86.0999984741211,10.0151163736981,9.98696695963562,9.9798329671226,10.1209665934247,1440.40002441406,5512.54869999993,93.6877746582031,"Q"
19,"","4 (DCSE)",59.0999984741211,0,11.6593332926435,0,0,0,0,0," "
20,"","5 (DCSE)",267,14.7287668863935,14.6371164957685,14.6652669270836,14.806852213542,14721,48119.163,99.1896362304688,"M"
21,"","6 (DCSE)",83,19.4424336751306,19.449566650391,19.3930338541671,19.5059326171879,1391,4253.16399999993,93.8426666259766,"Q"
22,"","9 (DCSE)",43,23.5703999837244,23.5634338378911,23.4927836100265,23.648032633464,870.399169921875,2872.12570000013,93.5614852905273,"Q"
23,"","18 (DCSE)",135.100006103516,28.5028157552089,28.488783772787,28.4322509765631,28.5874837239589,6554,24228.1030000001,99.5846710205078," "
24,"","11 (DCSE)",179.100006103516,34.3807657877611,34.366731770834,34.3243164062507,34.4725016276049,3216,12083.0474999997,98.0039749145508," "
25,"","Formamide, N,N-dibutyl-",72.0999984741211,20.4726664225265,20.4797993977869,20.4091491699223,20.6420166015629,10172.15625,35053.1235106024,99.4074325561523," "
26,"","2-Methyl-1-undecanol",57.0999984741211,0,21.2629333496098,0,0,0,0,0,"D"
27,"","Phenol, 2,6-dimethoxy-4-(2-propenyl)-",194.100006103516,0,30.7961161295579,0,0,0,0,0," "
28,"","Phenol, 2-methoxy-4-(1-propenyl)-",164.100006103516,0,24.5441670735682,0,0,0,0,0," "
29,"","trans-?-Bergamotene",119.099998474121,24.1843159993494,24.2054667154953,24.127866617839,24.2407674153651,954,2676.79949999996,97.9247055053711," "
30,"","29.22 Tridecanal",57.0999984741211,26.0472005208339,26.0261006673182,25.9978006998703,26.0824666341151,418.438201904297,1196.76474801469,98.3370056152344,"M"
31,"","5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",43,24.5583007812505,24.558384195964,24.5018493652349,24.6147501627609,2460,7818.22349999987,98.8408355712891," "
